hash_n,l1d_mshrs,pfdist,early_retire_pf,tag,run,cyc_per_access,mlp_l1,demand_miss_rate,dram_gb_per_s
0.0,10.0,32.0,False,gate,t0_mshr10_nopatch,42.288,9.94,0.0359,5.8
0.0,10.0,32.0,True,gate,t0_mshr10_patch,42.313,9.94,0.0358,5.8
0.0,10.0,64.0,True,dist,d64_m10,42.291,9.94,0.0358,5.8
0.0,10.0,128.0,True,dist,d128_m10,42.382,9.93,0.0515,5.79
0.0,512.0,32.0,False,gate,t0_mshr512_nopatch,20.022,30.53,0.161,12.26
0.0,512.0,32.0,True,gate,t0_mshr512_patch,19.998,30.53,0.1609,12.27
0.0,512.0,64.0,True,dist,d64_m512,18.347,42.71,0.0819,13.37
0.0,512.0,128.0,True,dist,d128_m512,17.107,68.82,0.0577,14.34
0.0,512.0,256.0,True,dist,d256_m512,16.598,113.1,0.152,14.79
3.0,512.0,32.0,False,hn,h3_m512_nopatch,45.218,9.48,0.0024,5.43
3.0,512.0,32.0,True,hn,h3_m512_patch,45.227,9.47,0.0024,5.43
5.0,512.0,32.0,False,hn,h5_m512_nopatch,78.298,5.04,0.0007,3.13
5.0,512.0,32.0,True,hn,h5_m512_patch,78.293,5.04,0.0007,3.13
