hash_n,l1d_mshrs,pfdist,early_retire_pf,tag,run,cyc_per_access,mlp_l1,demand_miss_rate,dram_gb_per_s
0.0,16.0,16.0,False,raptorlake_fig310,h0_t0_mshr16_d16,34.292,15.87,0.1868,8.29
0.0,16.0,32.0,False,raptorlake_fig310,h0_t0_mshr16_d32,34.146,15.93,0.0491,8.33
0.0,16.0,64.0,False,raptorlake_fig310,h0_t0_mshr16_d64,34.145,15.93,0.0358,8.33
0.0,16.0,128.0,False,raptorlake_fig310,h0_t0_mshr16_d128,34.149,15.93,0.036,8.33
0.0,16.0,256.0,False,raptorlake_fig310,h0_t0_mshr16_d256,34.274,15.93,0.0715,8.3
0.0,512.0,16.0,False,raptorlake_fig310,h0_t0_mshr512_d16,23.623,29.18,0.2609,12.04
0.0,512.0,32.0,False,raptorlake_fig310,h0_t0_mshr512_d32,21.841,35.37,0.1953,13.02
0.0,512.0,64.0,False,raptorlake_fig310,h0_t0_mshr512_d64,20.273,48.79,0.1204,14.03
0.0,512.0,128.0,False,raptorlake_fig310,h0_t0_mshr512_d128,18.857,77.05,0.1064,15.08
0.0,512.0,256.0,False,raptorlake_fig310,h0_t0_mshr512_d256,18.74,100.15,0.1475,15.18
1.0,16.0,16.0,False,raptorlake_fig310,h1_t0_mshr16_d16,37.056,14.43,0.1255,7.68
1.0,16.0,32.0,False,raptorlake_fig310,h1_t0_mshr16_d32,34.599,15.73,0.0334,8.22
1.0,16.0,64.0,False,raptorlake_fig310,h1_t0_mshr16_d64,34.588,15.73,0.032,8.22
1.0,16.0,128.0,False,raptorlake_fig310,h1_t0_mshr16_d128,34.61,15.74,0.032,8.22
1.0,16.0,256.0,False,raptorlake_fig310,h1_t0_mshr16_d256,34.75,15.72,0.0698,8.19
1.0,512.0,16.0,False,raptorlake_fig310,h1_t0_mshr512_d16,35.897,15.28,0.1582,7.92
1.0,512.0,32.0,False,raptorlake_fig310,h1_t0_mshr512_d32,25.945,24.08,0.0837,10.96
1.0,512.0,64.0,False,raptorlake_fig310,h1_t0_mshr512_d64,21.73,34.27,0.0277,13.09
1.0,512.0,128.0,False,raptorlake_fig310,h1_t0_mshr512_d128,19.499,52.59,0.0178,14.59
1.0,512.0,256.0,False,raptorlake_fig310,h1_t0_mshr512_d256,18.742,69.16,0.0383,15.18
2.0,16.0,16.0,False,raptorlake_fig310,h2_t0_mshr16_d16,40.298,12.85,0.0905,7.06
2.0,16.0,32.0,False,raptorlake_fig310,h2_t0_mshr16_d32,35.138,15.41,0.0081,8.09
2.0,16.0,64.0,False,raptorlake_fig310,h2_t0_mshr16_d64,35.152,15.42,0.0073,8.09
2.0,16.0,128.0,False,raptorlake_fig310,h2_t0_mshr16_d128,35.142,15.42,0.0076,8.09
2.0,16.0,256.0,False,raptorlake_fig310,h2_t0_mshr16_d256,35.287,15.4,0.0441,8.06
2.0,512.0,16.0,False,raptorlake_fig310,h2_t0_mshr512_d16,40.008,13.05,0.1116,7.11
2.0,512.0,32.0,False,raptorlake_fig310,h2_t0_mshr512_d32,28.397,21.11,0.0423,10.02
2.0,512.0,64.0,False,raptorlake_fig310,h2_t0_mshr512_d64,23.907,28.83,0.0063,11.9
2.0,512.0,128.0,False,raptorlake_fig310,h2_t0_mshr512_d128,22.447,36.43,0.0048,12.67
2.0,512.0,256.0,False,raptorlake_fig310,h2_t0_mshr512_d256,22.13,38.49,0.0252,12.85
3.0,16.0,16.0,False,raptorlake_fig310,h3_t0_mshr16_d16,50.639,9.59,0.024,5.62
3.0,16.0,32.0,False,raptorlake_fig310,h3_t0_mshr16_d32,47.745,10.29,0.0013,5.96
3.0,16.0,64.0,False,raptorlake_fig310,h3_t0_mshr16_d64,47.713,10.29,0.0013,5.96
3.0,16.0,128.0,False,raptorlake_fig310,h3_t0_mshr16_d128,47.74,10.29,0.0016,5.96
3.0,16.0,256.0,False,raptorlake_fig310,h3_t0_mshr16_d256,47.773,10.34,0.0428,5.96
3.0,512.0,16.0,False,raptorlake_fig310,h3_t0_mshr512_d16,50.618,9.62,0.025,5.62
3.0,512.0,32.0,False,raptorlake_fig310,h3_t0_mshr512_d32,46.507,10.96,0.0033,6.12
3.0,512.0,64.0,False,raptorlake_fig310,h3_t0_mshr512_d64,44.651,11.68,0.0013,6.37
3.0,512.0,128.0,False,raptorlake_fig310,h3_t0_mshr512_d128,44.661,11.69,0.0015,6.37
3.0,512.0,256.0,False,raptorlake_fig310,h3_t0_mshr512_d256,44.682,11.74,0.0412,6.37
4.0,16.0,16.0,False,raptorlake_fig310,h4_t0_mshr16_d16,65.336,7.14,0.0035,4.35
4.0,16.0,32.0,False,raptorlake_fig310,h4_t0_mshr16_d32,64.358,7.3,0.001,4.42
4.0,16.0,64.0,False,raptorlake_fig310,h4_t0_mshr16_d64,64.358,7.3,0.001,4.42
4.0,16.0,128.0,False,raptorlake_fig310,h4_t0_mshr16_d128,64.366,7.3,0.0013,4.42
4.0,16.0,256.0,False,raptorlake_fig310,h4_t0_mshr16_d256,64.402,7.34,0.0453,4.42
4.0,512.0,16.0,False,raptorlake_fig310,h4_t0_mshr512_d16,65.323,7.15,0.0038,4.35
4.0,512.0,32.0,False,raptorlake_fig310,h4_t0_mshr512_d32,62.088,7.75,0.0024,4.58
4.0,512.0,64.0,False,raptorlake_fig310,h4_t0_mshr512_d64,61.972,7.72,0.001,4.59
4.0,512.0,128.0,False,raptorlake_fig310,h4_t0_mshr512_d128,62.002,7.71,0.0013,4.59
4.0,512.0,256.0,False,raptorlake_fig310,h4_t0_mshr512_d256,62.029,7.76,0.0446,4.59
5.0,16.0,16.0,False,raptorlake_fig310,h5_t0_mshr16_d16,81.795,5.58,0.0035,3.48
5.0,16.0,32.0,False,raptorlake_fig310,h5_t0_mshr16_d32,80.561,5.68,0.001,3.53
5.0,16.0,64.0,False,raptorlake_fig310,h5_t0_mshr16_d64,80.54,5.68,0.001,3.53
5.0,16.0,128.0,False,raptorlake_fig310,h5_t0_mshr16_d128,80.587,5.68,0.0013,3.53
5.0,16.0,256.0,False,raptorlake_fig310,h5_t0_mshr16_d256,80.604,5.72,0.0466,3.53
5.0,512.0,16.0,False,raptorlake_fig310,h5_t0_mshr512_d16,81.756,5.58,0.0039,3.48
5.0,512.0,32.0,False,raptorlake_fig310,h5_t0_mshr512_d32,78.718,5.85,0.0011,3.61
5.0,512.0,64.0,False,raptorlake_fig310,h5_t0_mshr512_d64,78.719,5.86,0.001,3.61
5.0,512.0,128.0,False,raptorlake_fig310,h5_t0_mshr512_d128,78.716,5.85,0.0013,3.61
5.0,512.0,256.0,False,raptorlake_fig310,h5_t0_mshr512_d256,78.753,5.89,0.0462,3.61
