hash_n,l1d_mshrs,pfdist,early_retire_pf,tag,run,cyc_per_access,mlp_l1,demand_miss_rate,dram_gb_per_s
0.0,16.0,16.0,False,raptorlake_fig310,h0_t0_mshr16_d16,34.292,15.87,0.1868,8.29
0.0,16.0,32.0,False,raptorlake_fig310,h0_t0_mshr16_d32,34.146,15.93,0.0491,8.33
0.0,512.0,16.0,False,raptorlake_fig310,h0_t0_mshr512_d16,23.623,29.18,0.2609,12.04
0.0,512.0,32.0,False,raptorlake_fig310,h0_t0_mshr512_d32,21.841,35.37,0.1953,13.02
1.0,16.0,16.0,False,raptorlake_fig310,h1_t0_mshr16_d16,37.056,14.43,0.1255,7.68
1.0,16.0,32.0,False,raptorlake_fig310,h1_t0_mshr16_d32,34.599,15.73,0.0334,8.22
1.0,512.0,16.0,False,raptorlake_fig310,h1_t0_mshr512_d16,35.897,15.28,0.1582,7.92
1.0,512.0,32.0,False,raptorlake_fig310,h1_t0_mshr512_d32,25.945,24.08,0.0837,10.96
2.0,16.0,16.0,False,raptorlake_fig310,h2_t0_mshr16_d16,40.298,12.85,0.0905,7.06
2.0,16.0,32.0,False,raptorlake_fig310,h2_t0_mshr16_d32,35.138,15.41,0.0081,8.09
2.0,512.0,16.0,False,raptorlake_fig310,h2_t0_mshr512_d16,40.008,13.05,0.1116,7.11
2.0,512.0,32.0,False,raptorlake_fig310,h2_t0_mshr512_d32,28.397,21.11,0.0423,10.02
3.0,16.0,16.0,False,raptorlake_fig310,h3_t0_mshr16_d16,50.639,9.59,0.024,5.62
3.0,16.0,32.0,False,raptorlake_fig310,h3_t0_mshr16_d32,47.745,10.29,0.0013,5.96
3.0,512.0,16.0,False,raptorlake_fig310,h3_t0_mshr512_d16,50.618,9.62,0.025,5.62
3.0,512.0,32.0,False,raptorlake_fig310,h3_t0_mshr512_d32,46.507,10.96,0.0033,6.12
4.0,16.0,16.0,False,raptorlake_fig310,h4_t0_mshr16_d16,65.336,7.14,0.0035,4.35
4.0,16.0,32.0,False,raptorlake_fig310,h4_t0_mshr16_d32,64.358,7.3,0.001,4.42
4.0,512.0,16.0,False,raptorlake_fig310,h4_t0_mshr512_d16,65.323,7.15,0.0038,4.35
4.0,512.0,32.0,False,raptorlake_fig310,h4_t0_mshr512_d32,62.088,7.75,0.0024,4.58
5.0,16.0,16.0,False,raptorlake_fig310,h5_t0_mshr16_d16,81.795,5.58,0.0035,3.48
5.0,16.0,32.0,False,raptorlake_fig310,h5_t0_mshr16_d32,80.561,5.68,0.001,3.53
5.0,512.0,16.0,False,raptorlake_fig310,h5_t0_mshr512_d16,81.756,5.58,0.0039,3.48
5.0,512.0,32.0,False,raptorlake_fig310,h5_t0_mshr512_d32,78.718,5.85,0.0011,3.61
