hash_n,l1d_mshrs,pfdist,early_retire_pf,tag,run,cyc_per_access,mlp_l1,demand_miss_rate,dram_gb_per_s
0.0,10.0,16.0,False,skylake_fig310,h0_t0_mshr10_d16,42.287,9.94,0.0563,5.8
0.0,10.0,32.0,False,gate,t0_mshr10_nopatch,42.288,9.94,0.0359,5.8
0.0,10.0,32.0,True,gate,t0_mshr10_patch,42.313,9.94,0.0358,5.8
0.0,10.0,32.0,False,skylake_fig310,h0_t0_mshr10_d32,42.289,9.94,0.0359,5.8
0.0,10.0,64.0,True,dist,d64_m10,42.291,9.94,0.0358,5.8
0.0,10.0,64.0,False,skylake_fig310,h0_t0_mshr10_d64,42.291,9.94,0.0359,5.8
0.0,10.0,128.0,True,dist,d128_m10,42.382,9.93,0.0515,5.79
0.0,10.0,128.0,False,skylake_fig310,h0_t0_mshr10_d128,42.383,9.94,0.0514,5.79
0.0,10.0,256.0,False,skylake_fig310,h0_t0_mshr10_d256,43.284,9.92,0.2396,5.67
0.0,512.0,16.0,False,skylake_fig310,h0_t0_mshr512_d16,22.531,23.73,0.2397,10.89
0.0,512.0,32.0,False,gate,t0_mshr512_nopatch,20.022,30.53,0.161,12.26
0.0,512.0,32.0,True,gate,t0_mshr512_patch,19.998,30.53,0.1609,12.27
0.0,512.0,32.0,False,skylake_fig310,h0_t0_mshr512_d32,20.013,30.54,0.1609,12.26
0.0,512.0,64.0,True,dist,d64_m512,18.347,42.71,0.0819,13.37
0.0,512.0,64.0,False,skylake_fig310,h0_t0_mshr512_d64,18.34,42.77,0.082,13.38
0.0,512.0,128.0,True,dist,d128_m512,17.107,68.82,0.0577,14.34
0.0,512.0,128.0,False,skylake_fig310,h0_t0_mshr512_d128,17.117,68.79,0.0582,14.34
0.0,512.0,256.0,True,dist,d256_m512,16.598,113.1,0.152,14.79
0.0,512.0,256.0,False,skylake_fig310,h0_t0_mshr512_d256,16.6,112.99,0.152,14.78
1.0,10.0,16.0,False,skylake_fig310,h1_t0_mshr10_d16,42.503,9.89,0.0335,5.77
1.0,10.0,32.0,False,skylake_fig310,h1_t0_mshr10_d32,42.486,9.89,0.0271,5.78
1.0,10.0,64.0,False,skylake_fig310,h1_t0_mshr10_d64,42.486,9.89,0.0271,5.78
1.0,10.0,128.0,False,skylake_fig310,h1_t0_mshr10_d128,42.57,9.89,0.0436,5.77
1.0,10.0,256.0,False,skylake_fig310,h1_t0_mshr10_d256,43.51,9.88,0.2389,5.64
1.0,512.0,16.0,False,skylake_fig310,h1_t0_mshr512_d16,29.975,15.67,0.1587,8.19
1.0,512.0,32.0,False,skylake_fig310,h1_t0_mshr512_d32,21.725,24.03,0.0787,11.3
1.0,512.0,64.0,False,skylake_fig310,h1_t0_mshr512_d64,18.937,34.22,0.0235,12.96
1.0,512.0,128.0,False,skylake_fig310,h1_t0_mshr512_d128,17.502,54.18,0.0162,14.02
1.0,512.0,256.0,False,skylake_fig310,h1_t0_mshr512_d256,16.862,81.8,0.1001,14.55
2.0,10.0,16.0,False,skylake_fig310,h2_t0_mshr10_d16,42.671,9.83,0.0283,5.75
2.0,10.0,32.0,False,skylake_fig310,h2_t0_mshr10_d32,42.629,9.84,0.0241,5.76
2.0,10.0,64.0,False,skylake_fig310,h2_t0_mshr10_d64,42.627,9.84,0.0243,5.76
2.0,10.0,128.0,False,skylake_fig310,h2_t0_mshr10_d128,42.724,9.84,0.0401,5.74
2.0,10.0,256.0,False,skylake_fig310,h2_t0_mshr10_d256,43.67,9.83,0.2313,5.62
2.0,512.0,16.0,False,skylake_fig310,h2_t0_mshr512_d16,33.527,13.44,0.1072,7.32
2.0,512.0,32.0,False,skylake_fig310,h2_t0_mshr512_d32,24.068,20.86,0.0263,10.2
2.0,512.0,64.0,False,skylake_fig310,h2_t0_mshr512_d64,22.202,24.26,0.0028,11.05
2.0,512.0,128.0,False,skylake_fig310,h2_t0_mshr512_d128,21.673,26.01,0.0096,11.32
2.0,512.0,256.0,False,skylake_fig310,h2_t0_mshr512_d256,21.693,26.46,0.1756,11.32
3.0,10.0,16.0,False,skylake_fig310,h3_t0_mshr10_d16,48.774,8.32,0.0023,5.03
3.0,10.0,32.0,False,skylake_fig310,h3_t0_mshr10_d32,48.723,8.33,0.001,5.04
3.0,10.0,64.0,False,skylake_fig310,h3_t0_mshr10_d64,48.723,8.33,0.0012,5.04
3.0,10.0,128.0,False,skylake_fig310,h3_t0_mshr10_d128,48.766,8.34,0.018,5.03
3.0,10.0,256.0,False,skylake_fig310,h3_t0_mshr10_d256,49.184,8.48,0.207,4.99
3.0,512.0,16.0,False,skylake_fig310,h3_t0_mshr512_d16,46.436,8.98,0.0081,5.29
3.0,512.0,32.0,False,hn,h3_m512_nopatch,45.218,9.48,0.0024,5.43
3.0,512.0,32.0,True,hn,h3_m512_patch,45.227,9.47,0.0024,5.43
3.0,512.0,32.0,False,skylake_fig310,h3_t0_mshr512_d32,45.23,9.47,0.0024,5.43
3.0,512.0,64.0,False,skylake_fig310,h3_t0_mshr512_d64,44.401,9.73,0.0012,5.53
3.0,512.0,128.0,False,skylake_fig310,h3_t0_mshr512_d128,44.413,9.74,0.017,5.53
3.0,512.0,256.0,False,skylake_fig310,h3_t0_mshr512_d256,44.461,9.96,0.204,5.52
4.0,10.0,16.0,False,skylake_fig310,h4_t0_mshr10_d16,63.554,6.17,0.0007,3.86
4.0,10.0,32.0,False,skylake_fig310,h4_t0_mshr10_d32,63.531,6.17,0.0007,3.86
4.0,10.0,64.0,False,skylake_fig310,h4_t0_mshr10_d64,63.535,6.17,0.0009,3.86
4.0,10.0,128.0,False,skylake_fig310,h4_t0_mshr10_d128,63.56,6.19,0.0189,3.86
4.0,10.0,256.0,False,skylake_fig310,h4_t0_mshr10_d256,63.627,6.35,0.2094,3.86
4.0,512.0,16.0,False,skylake_fig310,h4_t0_mshr512_d16,63.101,6.36,0.0022,3.89
4.0,512.0,32.0,False,skylake_fig310,h4_t0_mshr512_d32,61.394,6.65,0.0011,4.0
4.0,512.0,64.0,False,skylake_fig310,h4_t0_mshr512_d64,61.319,6.66,0.0009,4.0
4.0,512.0,128.0,False,skylake_fig310,h4_t0_mshr512_d128,61.334,6.67,0.0185,4.0
4.0,512.0,256.0,False,skylake_fig310,h4_t0_mshr512_d256,61.365,6.84,0.2083,4.0
5.0,10.0,16.0,False,skylake_fig310,h5_t0_mshr10_d16,80.58,4.78,0.0007,3.05
5.0,10.0,32.0,False,skylake_fig310,h5_t0_mshr10_d32,80.576,4.78,0.0007,3.05
5.0,10.0,64.0,False,skylake_fig310,h5_t0_mshr10_d64,80.582,4.78,0.001,3.05
5.0,10.0,128.0,False,skylake_fig310,h5_t0_mshr10_d128,80.603,4.79,0.0201,3.05
5.0,10.0,256.0,False,skylake_fig310,h5_t0_mshr10_d256,80.65,4.92,0.2118,3.04
5.0,512.0,16.0,False,skylake_fig310,h5_t0_mshr512_d16,79.731,4.93,0.0025,3.08
5.0,512.0,32.0,False,hn,h5_m512_nopatch,78.298,5.04,0.0007,3.13
5.0,512.0,32.0,True,hn,h5_m512_patch,78.293,5.04,0.0007,3.13
5.0,512.0,32.0,False,skylake_fig310,h5_t0_mshr512_d32,78.298,5.04,0.0007,3.13
5.0,512.0,64.0,False,skylake_fig310,h5_t0_mshr512_d64,78.304,5.04,0.001,3.13
5.0,512.0,128.0,False,skylake_fig310,h5_t0_mshr512_d128,78.315,5.05,0.0198,3.13
5.0,512.0,256.0,False,skylake_fig310,h5_t0_mshr512_d256,78.342,5.19,0.2111,3.13
