hash_n,l1d_mshrs,pfdist,early_retire_pf,tag,run,cyc_per_access,mlp_l1,demand_miss_rate,dram_gb_per_s
0.0,10.0,16.0,False,skylake_fig310,h0_t0_mshr10_d16,42.287,9.94,0.0563,5.8
0.0,10.0,32.0,False,gate,t0_mshr10_nopatch,42.288,9.94,0.0359,5.8
0.0,10.0,32.0,True,gate,t0_mshr10_patch,42.313,9.94,0.0358,5.8
0.0,10.0,32.0,False,skylake_fig310,h0_t0_mshr10_d32,42.289,9.94,0.0359,5.8
0.0,512.0,16.0,False,skylake_fig310,h0_t0_mshr512_d16,22.531,23.73,0.2397,10.89
0.0,512.0,32.0,False,gate,t0_mshr512_nopatch,20.022,30.53,0.161,12.26
0.0,512.0,32.0,True,gate,t0_mshr512_patch,19.998,30.53,0.1609,12.27
0.0,512.0,32.0,False,skylake_fig310,h0_t0_mshr512_d32,20.013,30.54,0.1609,12.26
1.0,10.0,16.0,False,skylake_fig310,h1_t0_mshr10_d16,42.503,9.89,0.0335,5.77
1.0,10.0,32.0,False,skylake_fig310,h1_t0_mshr10_d32,42.486,9.89,0.0271,5.78
1.0,512.0,16.0,False,skylake_fig310,h1_t0_mshr512_d16,29.975,15.67,0.1587,8.19
1.0,512.0,32.0,False,skylake_fig310,h1_t0_mshr512_d32,21.725,24.03,0.0787,11.3
2.0,10.0,16.0,False,skylake_fig310,h2_t0_mshr10_d16,42.671,9.83,0.0283,5.75
2.0,10.0,32.0,False,skylake_fig310,h2_t0_mshr10_d32,42.629,9.84,0.0241,5.76
2.0,512.0,16.0,False,skylake_fig310,h2_t0_mshr512_d16,33.527,13.44,0.1072,7.32
2.0,512.0,32.0,False,skylake_fig310,h2_t0_mshr512_d32,24.068,20.86,0.0263,10.2
3.0,10.0,16.0,False,skylake_fig310,h3_t0_mshr10_d16,48.774,8.32,0.0023,5.03
3.0,10.0,32.0,False,skylake_fig310,h3_t0_mshr10_d32,48.723,8.33,0.001,5.04
3.0,512.0,16.0,False,skylake_fig310,h3_t0_mshr512_d16,46.436,8.98,0.0081,5.29
3.0,512.0,32.0,False,hn,h3_m512_nopatch,45.218,9.48,0.0024,5.43
3.0,512.0,32.0,True,hn,h3_m512_patch,45.227,9.47,0.0024,5.43
3.0,512.0,32.0,False,skylake_fig310,h3_t0_mshr512_d32,45.23,9.47,0.0024,5.43
4.0,10.0,16.0,False,skylake_fig310,h4_t0_mshr10_d16,63.554,6.17,0.0007,3.86
4.0,10.0,32.0,False,skylake_fig310,h4_t0_mshr10_d32,63.531,6.17,0.0007,3.86
4.0,512.0,16.0,False,skylake_fig310,h4_t0_mshr512_d16,63.101,6.36,0.0022,3.89
4.0,512.0,32.0,False,skylake_fig310,h4_t0_mshr512_d32,61.394,6.65,0.0011,4.0
5.0,10.0,16.0,False,skylake_fig310,h5_t0_mshr10_d16,80.58,4.78,0.0007,3.05
5.0,10.0,32.0,False,skylake_fig310,h5_t0_mshr10_d32,80.576,4.78,0.0007,3.05
5.0,512.0,16.0,False,skylake_fig310,h5_t0_mshr512_d16,79.731,4.93,0.0025,3.08
5.0,512.0,32.0,False,hn,h5_m512_nopatch,78.298,5.04,0.0007,3.13
5.0,512.0,32.0,True,hn,h5_m512_patch,78.293,5.04,0.0007,3.13
5.0,512.0,32.0,False,skylake_fig310,h5_t0_mshr512_d32,78.298,5.04,0.0007,3.13
