run,hash_n,swpf,l1d_mshrs,mem_intensity,mlp_l1,mlp_l2,mlp_rob_limit,mlp_l1_limit,dram_gb_per_s
h5_m512_nopatch,5.0,1.0,512.0,0.01295,5.04,5.1,2.9,512.0,3.13
h5_m512_patch,5.0,1.0,512.0,0.01296,5.04,5.09,2.9,512.0,3.13
h5_base_m10,5.0,0.0,10.0,0.01331,1.55,1.56,2.98,10.0,1.08
h3_m512_nopatch,3.0,1.0,512.0,0.01997,9.48,9.64,4.47,512.0,5.43
h3_m512_patch,3.0,1.0,512.0,0.01997,9.47,9.63,4.47,512.0,5.43
h3_base_m10,3.0,0.0,10.0,0.02084,2.36,2.37,4.67,10.0,1.6
d256_m512,0.0,1.0,512.0,0.13694,113.1,114.39,30.67,512.0,14.79
d128_m512,0.0,1.0,512.0,0.13694,68.82,70.37,30.67,512.0,14.34
t0_mshr512_nopatch,0.0,1.0,512.0,0.13694,30.53,31.35,30.67,512.0,12.26
d64_m512,0.0,1.0,512.0,0.13694,42.71,43.85,30.68,512.0,13.37
t0_mshr512_patch,0.0,1.0,512.0,0.13694,30.53,31.35,30.68,512.0,12.27
t0_mshr10_patch,0.0,1.0,10.0,0.13695,9.94,10.11,30.68,10.0,5.8
t0_mshr10_nopatch,0.0,1.0,10.0,0.13695,9.94,10.11,30.68,10.0,5.8
d64_m10,0.0,1.0,10.0,0.13695,9.94,10.11,30.68,10.0,5.8
d128_m10,0.0,1.0,10.0,0.13696,9.93,10.08,30.68,10.0,5.79
base_mshr10,0.0,0.0,10.0,0.19172,9.92,10.08,42.95,10.0,5.8
