run,hash_n,swpf,l1d_mshrs,mem_intensity,mlp_l1,mlp_l2,mlp_rob_limit,mlp_l1_limit,dram_gb_per_s
h5_t0_mshr10_d16,5.0,1.0,10.0,0.00856,4.78,4.82,1.92,10.0,3.05
h5_t0_mshr512_d16,5.0,1.0,512.0,0.00856,4.93,4.98,1.92,512.0,3.08
h5_m512_nopatch,5.0,1.0,512.0,0.00856,5.04,5.1,1.92,512.0,3.13
h5_m512_patch,5.0,1.0,512.0,0.00856,5.04,5.09,1.92,512.0,3.13
h5_t0_mshr512_d32,5.0,1.0,512.0,0.00856,5.04,5.1,1.92,512.0,3.13
h5_t0_mshr10_d32,5.0,1.0,10.0,0.00856,4.78,4.83,1.92,10.0,3.05
h5_t0_mshr512_d64,5.0,1.0,512.0,0.00856,5.04,5.1,1.92,512.0,3.13
h5_t0_mshr10_d64,5.0,1.0,10.0,0.00856,4.78,4.83,1.92,10.0,3.05
h5_t0_mshr512_d128,5.0,1.0,512.0,0.00856,5.05,5.09,1.92,512.0,3.13
h5_t0_mshr10_d128,5.0,1.0,10.0,0.00856,4.79,4.82,1.92,10.0,3.05
h5_t0_mshr512_d256,5.0,1.0,512.0,0.00856,5.19,5.1,1.92,512.0,3.13
h5_t0_mshr10_d256,5.0,1.0,10.0,0.00856,4.92,4.82,1.92,10.0,3.04
h5_base_m10,5.0,0.0,10.0,0.00871,1.55,1.56,1.95,10.0,1.08
h5_base_mshr10,5.0,0.0,10.0,0.00871,1.55,1.56,1.95,10.0,1.08
h4_t0_mshr10_d16,4.0,1.0,10.0,0.01042,6.17,6.24,2.33,10.0,3.86
h4_t0_mshr512_d16,4.0,1.0,512.0,0.01042,6.36,6.44,2.33,512.0,3.89
h4_t0_mshr512_d32,4.0,1.0,512.0,0.01042,6.65,6.73,2.33,512.0,4.0
h4_t0_mshr10_d32,4.0,1.0,10.0,0.01042,6.17,6.24,2.33,10.0,3.86
h4_t0_mshr512_d64,4.0,1.0,512.0,0.01042,6.66,6.74,2.33,512.0,4.0
h4_t0_mshr10_d64,4.0,1.0,10.0,0.01042,6.17,6.24,2.33,10.0,3.86
h4_t0_mshr10_d128,4.0,1.0,10.0,0.01042,6.19,6.24,2.33,10.0,3.86
h4_t0_mshr512_d128,4.0,1.0,512.0,0.01042,6.67,6.74,2.33,512.0,4.0
h4_t0_mshr10_d256,4.0,1.0,10.0,0.01042,6.35,6.23,2.33,10.0,3.86
h4_t0_mshr512_d256,4.0,1.0,512.0,0.01042,6.84,6.74,2.33,512.0,4.0
h4_base_mshr10,4.0,0.0,10.0,0.01065,1.67,1.68,2.39,10.0,1.16
h3_t0_mshr10_d16,3.0,1.0,10.0,0.01331,8.32,8.43,2.98,10.0,5.03
h3_t0_mshr512_d16,3.0,1.0,512.0,0.01331,8.98,9.11,2.98,512.0,5.29
h3_t0_mshr512_d32,3.0,1.0,512.0,0.01331,9.47,9.62,2.98,512.0,5.43
h3_m512_nopatch,3.0,1.0,512.0,0.01331,9.48,9.64,2.98,512.0,5.43
h3_m512_patch,3.0,1.0,512.0,0.01331,9.47,9.63,2.98,512.0,5.43
h3_t0_mshr10_d32,3.0,1.0,10.0,0.01331,8.33,8.44,2.98,10.0,5.04
h3_t0_mshr512_d64,3.0,1.0,512.0,0.01332,9.73,9.89,2.98,512.0,5.53
h3_t0_mshr10_d64,3.0,1.0,10.0,0.01332,8.33,8.44,2.98,10.0,5.04
h3_t0_mshr10_d128,3.0,1.0,10.0,0.01332,8.34,8.43,2.98,10.0,5.03
h3_t0_mshr512_d128,3.0,1.0,512.0,0.01332,9.74,9.89,2.98,512.0,5.53
h3_t0_mshr512_d256,3.0,1.0,512.0,0.01332,9.96,9.87,2.98,512.0,5.52
h3_t0_mshr10_d256,3.0,1.0,10.0,0.01332,8.48,8.36,2.98,10.0,4.99
h3_base_m10,3.0,0.0,10.0,0.01369,2.36,2.37,3.07,10.0,1.6
h3_base_mshr10,3.0,0.0,10.0,0.01369,2.36,2.37,3.07,10.0,1.6
h2_t0_mshr512_d32,2.0,1.0,512.0,0.02739,20.86,21.37,6.14,512.0,10.2
h2_t0_mshr512_d16,2.0,1.0,512.0,0.02739,13.44,13.69,6.14,512.0,7.32
h2_t0_mshr10_d16,2.0,1.0,10.0,0.02739,9.83,9.99,6.14,10.0,5.75
h2_t0_mshr512_d64,2.0,1.0,512.0,0.02739,24.26,24.92,6.14,512.0,11.05
h2_t0_mshr10_d32,2.0,1.0,10.0,0.02739,9.84,10.0,6.14,10.0,5.76
h2_t0_mshr10_d64,2.0,1.0,10.0,0.02739,9.84,10.0,6.14,10.0,5.76
h2_t0_mshr512_d128,2.0,1.0,512.0,0.02739,26.01,26.69,6.14,512.0,11.32
h2_t0_mshr10_d128,2.0,1.0,10.0,0.02739,9.84,9.97,6.14,10.0,5.74
h2_t0_mshr512_d256,2.0,1.0,512.0,0.02739,26.46,26.71,6.14,512.0,11.32
h2_t0_mshr10_d256,2.0,1.0,10.0,0.0274,9.83,9.72,6.14,10.0,5.62
h2_base_mshr10,2.0,0.0,10.0,0.02905,3.47,3.49,6.51,10.0,2.29
h1_t0_mshr512_d128,1.0,1.0,512.0,0.03687,54.18,55.72,8.26,512.0,14.02
h1_t0_mshr512_d64,1.0,1.0,512.0,0.03687,34.22,35.27,8.26,512.0,12.96
h1_t0_mshr512_d32,1.0,1.0,512.0,0.03687,24.03,24.66,8.26,512.0,11.3
h1_t0_mshr512_d16,1.0,1.0,512.0,0.03687,15.67,16.0,8.26,512.0,8.19
h1_t0_mshr10_d16,1.0,1.0,10.0,0.03687,9.89,10.05,8.26,10.0,5.77
h1_t0_mshr512_d256,1.0,1.0,512.0,0.03687,81.8,83.42,8.26,512.0,14.55
h1_t0_mshr10_d32,1.0,1.0,10.0,0.03687,9.89,10.06,8.26,10.0,5.78
h1_t0_mshr10_d64,1.0,1.0,10.0,0.03687,9.89,10.05,8.26,10.0,5.78
h1_t0_mshr10_d128,1.0,1.0,10.0,0.03687,9.89,10.03,8.26,10.0,5.77
h1_t0_mshr10_d256,1.0,1.0,10.0,0.03688,9.88,9.77,8.26,10.0,5.64
h1_base_mshr10,1.0,0.0,10.0,0.03994,5.17,5.22,8.95,10.0,3.28
h0_t0_mshr512_d256,0.0,1.0,512.0,0.08714,112.99,114.26,19.52,512.0,14.78
d256_m512,0.0,1.0,512.0,0.08714,113.1,114.39,19.52,512.0,14.79
